Model,Class,Precision,Recall,F1,Support
LogisticRegression_tuned,Dropout,0.8310626702997275,0.7142857142857143,0.7682619647355163,427.0
LogisticRegression_tuned,Enrolled,0.4173669467787115,0.6260504201680672,0.5008403361344538,238.0
LogisticRegression_tuned,Graduate,0.8625827814569537,0.7858220211161387,0.8224151539068666,663.0
DecisionTree_tuned,Dropout,0.851963746223565,0.6604215456674473,0.7440633245382586,427.0
DecisionTree_tuned,Enrolled,0.3708133971291866,0.6512605042016807,0.4725609756097561,238.0
DecisionTree_tuned,Graduate,0.8497409326424871,0.7420814479638009,0.7922705314009661,663.0
RandomForest_tuned,Dropout,0.8351063829787234,0.7353629976580797,0.7820672478206725,427.0
RandomForest_tuned,Enrolled,0.4881889763779528,0.5210084033613446,0.5040650406504065,238.0
RandomForest_tuned,Graduate,0.8194842406876791,0.8627450980392157,0.8405584129316679,663.0
ExtraTrees_tuned,Dropout,0.821917808219178,0.702576112412178,0.7575757575757576,427.0
ExtraTrees_tuned,Enrolled,0.47854785478547857,0.6092436974789915,0.5360443622920518,238.0
ExtraTrees_tuned,Graduate,0.85,0.8461538461538461,0.8480725623582767,663.0
GradientBoosting_tuned,Dropout,0.806930693069307,0.7634660421545667,0.7845968712394705,427.0
GradientBoosting_tuned,Enrolled,0.5181347150259067,0.42016806722689076,0.46403712296983757,238.0
GradientBoosting_tuned,Graduate,0.8194254445964432,0.9034690799396682,0.8593974175035868,663.0
HistGradientBoosting_tuned,Dropout,0.8283378746594006,0.711943793911007,0.7657430730478589,427.0
HistGradientBoosting_tuned,Enrolled,0.4424778761061947,0.6302521008403361,0.5199306759098787,238.0
HistGradientBoosting_tuned,Graduate,0.8633440514469454,0.8099547511312217,0.8357976653696498,663.0
LinearSVM_tuned,Dropout,0.8284182305630027,0.7236533957845434,0.7725,427.0
LinearSVM_tuned,Enrolled,0.4738955823293173,0.4957983193277311,0.48459958932238195,238.0
LinearSVM_tuned,Graduate,0.8257790368271954,0.8793363499245852,0.8517165814463111,663.0
RBF_SVM_tuned,Dropout,0.8083989501312336,0.7213114754098361,0.7623762376237624,427.0
RBF_SVM_tuned,Enrolled,0.4507936507936508,0.5966386554621849,0.5135623869801085,238.0
RBF_SVM_tuned,Graduate,0.8607594936708861,0.8205128205128205,0.8401544401544402,663.0
MLP_tuned,Dropout,0.7595238095238095,0.747072599531616,0.7532467532467533,427.0
MLP_tuned,Enrolled,0.4262948207171315,0.4495798319327731,0.4376278118609407,238.0
MLP_tuned,Graduate,0.8264840182648402,0.8190045248868778,0.8227272727272728,663.0
